supplier_id,supplier_name,supplier_type,risk_level,compliance_issues,key_terms,past_performance,negotiate_recommendation,supply_chain_disruption,quality_metrics,cost_metrics
S0225,Supplier 225,Retailer,Medium,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Include penalty clauses for late delivery, Include compliance monitoring",Yes,"2.86% defect rate, Meets standards","$53.19/unit, $6535.8 total cost"
S0226,Supplier 226,Service Provider,Medium,,"30-day payment, 5-day delivery",Good,"Adjust delivery schedules, Include penalty clauses for late delivery",No,"2.95% defect rate, Meets standards","$53.57/unit, $6446.12 total cost"
S0227,Supplier 227,Service Provider,Medium,,"60-day payment, 7-day delivery",Poor,"Adjust delivery schedules, Seek alternative suppliers",Yes,"3.12% defect rate, Meets standards","$61.03/unit, $6190.29 total cost"
S0228,Supplier 228,Service Provider,Medium,Late Delivery,"60-day payment, 7-day delivery",Good,"Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"2.07% defect rate, Meets standards","$59.05/unit, $6222.29 total cost"
S0229,Supplier 229,Distributor,High,Late Delivery,"30-day payment, 5-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"1.99% defect rate, Meets standards","$62.44/unit, $6031.74 total cost"
S0230,Supplier 230,Manufacturer,High,Late Delivery,"45-day payment, 10-day delivery",Fair,"Adjust delivery schedules, Include compliance monitoring, Seek alternative suppliers",No,"2.95% defect rate, Meets standards","$69.62/unit, $5804.8 total cost"
S0231,Supplier 231,Retailer,High,Late Delivery,"60-day payment, 7-day delivery",Excellent,"Adjust delivery schedules, Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"3.0% defect rate, Meets standards","$62.14/unit, $5046.64 total cost"
S0232,Supplier 232,Manufacturer,Low,Late Delivery,"45-day payment, 10-day delivery",Poor,Seek alternative suppliers,Yes,"2.16% defect rate, Meets standards","$54.51/unit, $6188.24 total cost"
S0233,Supplier 233,Service Provider,Medium,,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Adjust delivery schedules",No,"3.33% defect rate, Meets standards","$55.31/unit, $6094.17 total cost"
S0234,Supplier 234,Distributor,High,Substandard Quality,"60-day payment, 7-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules, Seek alternative suppliers",No,"4.08% defect rate, Meets standards","$53.95/unit, $6440.46 total cost"
S0235,Supplier 235,Manufacturer,Medium,Late Delivery,"45-day payment, 10-day delivery",Good,"Include compliance monitoring, Seek alternative suppliers",Yes,"3.76% defect rate, Meets standards","$65.54/unit, $5490.51 total cost"
S0236,Supplier 236,Distributor,Medium,Substandard Quality,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules",No,"1.59% defect rate, Meets standards","$59.94/unit, $5913.22 total cost"
S0237,Supplier 237,Retailer,Medium,Late Delivery,"60-day payment, 7-day delivery",Good,"Seek alternative suppliers, Include compliance monitoring",No,"3.57% defect rate, Meets standards","$52.27/unit, $6459.89 total cost"
S0238,Supplier 238,Manufacturer,Medium,Substandard Quality,"30-day payment, 5-day delivery",Excellent,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"1.01% defect rate, Meets standards","$67.47/unit, $6701.11 total cost"
S0239,Supplier 239,Service Provider,Low,,"30-day payment, 5-day delivery",Excellent,Include compliance monitoring,No,"2.57% defect rate, Meets standards","$57.91/unit, $6047.6 total cost"
S0240,Supplier 240,Distributor,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Excellent,"Include compliance monitoring, Seek alternative suppliers, Adjust delivery schedules",No,"2.84% defect rate, Meets standards","$62.19/unit, $6226.28 total cost"
S0241,Supplier 241,Retailer,High,Substandard Quality,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Include compliance monitoring, Seek alternative suppliers",Yes,"4.18% defect rate, Meets standards","$69.49/unit, $5555.67 total cost"
S0242,Supplier 242,Service Provider,Low,,"60-day payment, 7-day delivery",Good,Seek alternative suppliers,Yes,"4.52% defect rate, Meets standards","$61.67/unit, $5907.44 total cost"
S0243,Supplier 243,Retailer,Medium,Substandard Quality,"60-day payment, 7-day delivery",Poor,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"3.87% defect rate, Meets standards","$60.16/unit, $5992.35 total cost"
S0244,Supplier 244,Service Provider,Medium,,"60-day payment, 7-day delivery",Fair,"Include compliance monitoring, Adjust delivery schedules",No,"4.1% defect rate, Meets standards","$68.16/unit, $5285.93 total cost"
S0245,Supplier 245,Manufacturer,Low,Non-Compliance with Standards,"30-day payment, 5-day delivery",Fair,Include compliance monitoring,No,"4.73% defect rate, Meets standards","$67.91/unit, $5138.32 total cost"
S0246,Supplier 246,Manufacturer,Low,,"30-day payment, 5-day delivery",Excellent,Adjust delivery schedules,No,"2.94% defect rate, Meets standards","$59.12/unit, $5371.62 total cost"
S0247,Supplier 247,Distributor,Low,Late Delivery,"45-day payment, 10-day delivery",Excellent,Include compliance monitoring,Yes,"2.12% defect rate, Meets standards","$63.65/unit, $6668.92 total cost"
S0248,Supplier 248,Service Provider,High,Late Delivery,"60-day payment, 7-day delivery",Fair,"Seek alternative suppliers, Include penalty clauses for late delivery, Include compliance monitoring",No,"2.48% defect rate, Meets standards","$63.56/unit, $5959.16 total cost"
S0249,Supplier 249,Manufacturer,Medium,Substandard Quality,"60-day payment, 7-day delivery",Good,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"2.71% defect rate, Meets standards","$55.93/unit, $5237.46 total cost"
S0250,Supplier 250,Manufacturer,High,Late Delivery,"60-day payment, 7-day delivery",Good,"Include compliance monitoring, Seek alternative suppliers, Adjust delivery schedules",No,"2.26% defect rate, Meets standards","$53.27/unit, $6915.37 total cost"
S0251,Supplier 251,Manufacturer,Medium,Late Delivery,"60-day payment, 7-day delivery",Poor,"Include penalty clauses for late delivery, Adjust delivery schedules",Yes,"2.21% defect rate, Meets standards","$61.38/unit, $5273.01 total cost"
S0252,Supplier 252,Service Provider,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Include penalty clauses for late delivery, Adjust delivery schedules",No,"4.93% defect rate, Meets standards","$50.72/unit, $6161.54 total cost"
S0253,Supplier 253,Distributor,Low,Late Delivery,"30-day payment, 5-day delivery",Excellent,Include penalty clauses for late delivery,Yes,"4.97% defect rate, Meets standards","$66.46/unit, $6078.73 total cost"
S0254,Supplier 254,Manufacturer,High,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Seek alternative suppliers, Include compliance monitoring, Adjust delivery schedules",No,"3.57% defect rate, Meets standards","$65.21/unit, $5419.99 total cost"
S0255,Supplier 255,Retailer,Low,Substandard Quality,"45-day payment, 10-day delivery",Fair,Adjust delivery schedules,Yes,"4.24% defect rate, Meets standards","$64.18/unit, $5267.13 total cost"
S0256,Supplier 256,Retailer,Medium,Late Delivery,"60-day payment, 7-day delivery",Poor,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"3.88% defect rate, Meets standards","$68.56/unit, $6841.6 total cost"
S0257,Supplier 257,Manufacturer,Medium,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Adjust delivery schedules",Yes,"3.73% defect rate, Meets standards","$69.16/unit, $5246.63 total cost"
S0258,Supplier 258,Service Provider,Medium,,"60-day payment, 7-day delivery",Fair,"Adjust delivery schedules, Seek alternative suppliers",No,"1.59% defect rate, Meets standards","$59.34/unit, $5588.16 total cost"
S0259,Supplier 259,Manufacturer,Low,,"30-day payment, 5-day delivery",Good,Adjust delivery schedules,No,"1.55% defect rate, Meets standards","$63.5/unit, $6110.39 total cost"
S0260,Supplier 260,Retailer,Low,Substandard Quality,"30-day payment, 5-day delivery",Poor,Include penalty clauses for late delivery,No,"4.54% defect rate, Meets standards","$69.49/unit, $6403.27 total cost"
S0261,Supplier 261,Service Provider,Low,Substandard Quality,"30-day payment, 5-day delivery",Excellent,Include penalty clauses for late delivery,Yes,"1.06% defect rate, Meets standards","$67.07/unit, $5573.4 total cost"
S0262,Supplier 262,Retailer,Low,Substandard Quality,"45-day payment, 10-day delivery",Poor,Include compliance monitoring,No,"3.72% defect rate, Meets standards","$63.08/unit, $5074.39 total cost"
S0263,Supplier 263,Distributor,Low,Late Delivery,"60-day payment, 7-day delivery",Poor,Adjust delivery schedules,No,"4.22% defect rate, Meets standards","$58.79/unit, $6249.56 total cost"
S0264,Supplier 264,Service Provider,Low,Late Delivery,"45-day payment, 10-day delivery",Fair,Seek alternative suppliers,Yes,"3.87% defect rate, Meets standards","$64.85/unit, $6085.51 total cost"
S0265,Supplier 265,Retailer,Medium,Late Delivery,"60-day payment, 7-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules",Yes,"1.58% defect rate, Meets standards","$51.17/unit, $5115.38 total cost"
S0266,Supplier 266,Service Provider,Low,Late Delivery,"45-day payment, 10-day delivery",Poor,Include compliance monitoring,Yes,"3.56% defect rate, Meets standards","$50.46/unit, $6109.11 total cost"
S0267,Supplier 267,Service Provider,High,Late Delivery,"30-day payment, 5-day delivery",Poor,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",No,"1.49% defect rate, Meets standards","$65.07/unit, $5654.41 total cost"
S0268,Supplier 268,Manufacturer,High,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Adjust delivery schedules, Seek alternative suppliers, Include compliance monitoring",No,"2.85% defect rate, Meets standards","$52.59/unit, $6620.82 total cost"
S0269,Supplier 269,Service Provider,Medium,,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"3.62% defect rate, Meets standards","$66.24/unit, $5709.25 total cost"
S0270,Supplier 270,Manufacturer,Medium,Substandard Quality,"60-day payment, 7-day delivery",Fair,"Include penalty clauses for late delivery, Adjust delivery schedules",Yes,"2.49% defect rate, Meets standards","$57.89/unit, $6124.08 total cost"
S0271,Supplier 271,Service Provider,Medium,Substandard Quality,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules",No,"3.07% defect rate, Meets standards","$69.03/unit, $6039.57 total cost"
S0272,Supplier 272,Retailer,High,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"4.79% defect rate, Meets standards","$51.28/unit, $6883.94 total cost"
S0273,Supplier 273,Manufacturer,Medium,Non-Compliance with Standards,"60-day payment, 7-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery",No,"2.24% defect rate, Meets standards","$60.06/unit, $6186.48 total cost"
S0274,Supplier 274,Manufacturer,Medium,,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules",Yes,"1.7% defect rate, Meets standards","$55.4/unit, $6301.64 total cost"
S0275,Supplier 275,Manufacturer,Low,Substandard Quality,"45-day payment, 10-day delivery",Excellent,Include penalty clauses for late delivery,Yes,"4.63% defect rate, Meets standards","$52.02/unit, $5851.99 total cost"
S0276,Supplier 276,Service Provider,Medium,,"45-day payment, 10-day delivery",Excellent,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"2.93% defect rate, Meets standards","$60.82/unit, $5271.38 total cost"
S0277,Supplier 277,Service Provider,High,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules, Include compliance monitoring",Yes,"2.99% defect rate, Meets standards","$50.13/unit, $5940.93 total cost"
S0278,Supplier 278,Manufacturer,Medium,,"60-day payment, 7-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules",No,"4.81% defect rate, Meets standards","$54.2/unit, $6446.23 total cost"
S0279,Supplier 279,Manufacturer,Medium,Substandard Quality,"45-day payment, 10-day delivery",Fair,"Include penalty clauses for late delivery, Include compliance monitoring",Yes,"2.07% defect rate, Meets standards","$59.04/unit, $6020.3 total cost"
S0280,Supplier 280,Service Provider,Low,,"30-day payment, 5-day delivery",Poor,Seek alternative suppliers,Yes,"4.19% defect rate, Meets standards","$56.92/unit, $6209.1 total cost"
S0281,Supplier 281,Manufacturer,Low,,"45-day payment, 10-day delivery",Excellent,Seek alternative suppliers,No,"3.24% defect rate, Meets standards","$67.26/unit, $6594.84 total cost"
S0282,Supplier 282,Distributor,Medium,Non-Compliance with Standards,"60-day payment, 7-day delivery",Good,"Include compliance monitoring, Adjust delivery schedules",No,"3.76% defect rate, Meets standards","$55.72/unit, $5016.56 total cost"
S0283,Supplier 283,Retailer,Medium,,"30-day payment, 5-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"2.88% defect rate, Meets standards","$56.44/unit, $6106.86 total cost"
S0284,Supplier 284,Service Provider,High,Substandard Quality,"45-day payment, 10-day delivery",Good,"Include penalty clauses for late delivery, Seek alternative suppliers, Adjust delivery schedules",Yes,"2.54% defect rate, Meets standards","$68.21/unit, $6435.52 total cost"
S0285,Supplier 285,Retailer,Medium,Substandard Quality,"45-day payment, 10-day delivery",Good,"Include penalty clauses for late delivery, Adjust delivery schedules",Yes,"1.58% defect rate, Meets standards","$53.43/unit, $6939.6 total cost"
S0286,Supplier 286,Manufacturer,High,Substandard Quality,"30-day payment, 5-day delivery",Fair,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",No,"4.95% defect rate, Meets standards","$62.49/unit, $6693.69 total cost"
S0287,Supplier 287,Service Provider,High,Substandard Quality,"60-day payment, 7-day delivery",Fair,"Seek alternative suppliers, Include penalty clauses for late delivery, Adjust delivery schedules",No,"3.91% defect rate, Meets standards","$57.92/unit, $6553.52 total cost"
S0288,Supplier 288,Service Provider,Medium,Late Delivery,"60-day payment, 7-day delivery",Poor,"Include compliance monitoring, Seek alternative suppliers",No,"2.82% defect rate, Meets standards","$51.3/unit, $5659.97 total cost"
S0289,Supplier 289,Retailer,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Good,"Seek alternative suppliers, Include compliance monitoring, Adjust delivery schedules",Yes,"2.97% defect rate, Meets standards","$65.94/unit, $5985.7 total cost"
S0290,Supplier 290,Distributor,High,Late Delivery,"30-day payment, 5-day delivery",Poor,"Adjust delivery schedules, Seek alternative suppliers, Include penalty clauses for late delivery",No,"1.0% defect rate, Meets standards","$69.96/unit, $6276.99 total cost"
S0291,Supplier 291,Distributor,Low,Substandard Quality,"30-day payment, 5-day delivery",Poor,Adjust delivery schedules,Yes,"1.12% defect rate, Meets standards","$58.45/unit, $6899.39 total cost"
S0292,Supplier 292,Service Provider,Medium,,"45-day payment, 10-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules",No,"4.23% defect rate, Meets standards","$61.97/unit, $6987.87 total cost"
S0293,Supplier 293,Retailer,Medium,Substandard Quality,"30-day payment, 5-day delivery",Fair,"Include compliance monitoring, Include penalty clauses for late delivery",No,"1.18% defect rate, Meets standards","$66.74/unit, $6583.68 total cost"
S0294,Supplier 294,Retailer,Medium,Substandard Quality,"45-day payment, 10-day delivery",Good,"Adjust delivery schedules, Include compliance monitoring",Yes,"4.09% defect rate, Meets standards","$65.71/unit, $6209.88 total cost"
S0295,Supplier 295,Distributor,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Excellent,"Include penalty clauses for late delivery, Adjust delivery schedules, Seek alternative suppliers",No,"3.85% defect rate, Meets standards","$60.1/unit, $6991.68 total cost"
S0296,Supplier 296,Distributor,Medium,Non-Compliance with Standards,"60-day payment, 7-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"3.72% defect rate, Meets standards","$55.68/unit, $6672.65 total cost"
S0297,Supplier 297,Manufacturer,Medium,,"60-day payment, 7-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery",No,"3.18% defect rate, Meets standards","$55.04/unit, $6031.85 total cost"
S0298,Supplier 298,Retailer,Medium,Late Delivery,"30-day payment, 5-day delivery",Good,"Include compliance monitoring, Include penalty clauses for late delivery",No,"2.39% defect rate, Meets standards","$67.39/unit, $6060.99 total cost"
S0299,Supplier 299,Distributor,High,Substandard Quality,"30-day payment, 5-day delivery",Good,"Seek alternative suppliers, Adjust delivery schedules, Include compliance monitoring",Yes,"4.89% defect rate, Meets standards","$51.54/unit, $5640.76 total cost"
S0300,Supplier 300,Distributor,Low,Non-Compliance with Standards,"60-day payment, 7-day delivery",Good,Adjust delivery schedules,No,"4.64% defect rate, Meets standards","$61.81/unit, $5669.06 total cost"
S0301,Supplier 301,Distributor,Medium,,"60-day payment, 7-day delivery",Good,"Adjust delivery schedules, Include compliance monitoring",No,"2.9% defect rate, Meets standards","$59.78/unit, $6592.58 total cost"
S0302,Supplier 302,Service Provider,Low,Substandard Quality,"30-day payment, 5-day delivery",Good,Seek alternative suppliers,Yes,"1.7% defect rate, Meets standards","$59.83/unit, $5400.56 total cost"
S0303,Supplier 303,Manufacturer,Medium,Late Delivery,"60-day payment, 7-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules",Yes,"1.94% defect rate, Meets standards","$66.1/unit, $5992.3 total cost"
S0304,Supplier 304,Distributor,Medium,Late Delivery,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Include penalty clauses for late delivery",No,"1.06% defect rate, Meets standards","$53.04/unit, $6322.95 total cost"
S0305,Supplier 305,Manufacturer,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Include penalty clauses for late delivery, Include compliance monitoring",Yes,"4.49% defect rate, Meets standards","$69.77/unit, $6732.94 total cost"
S0306,Supplier 306,Distributor,Low,Late Delivery,"30-day payment, 5-day delivery",Fair,Seek alternative suppliers,No,"2.45% defect rate, Meets standards","$56.29/unit, $6372.99 total cost"
S0307,Supplier 307,Manufacturer,High,,"30-day payment, 5-day delivery",Poor,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"2.94% defect rate, Meets standards","$66.52/unit, $5451.85 total cost"
S0308,Supplier 308,Service Provider,Low,Non-Compliance with Standards,"30-day payment, 5-day delivery",Poor,Include penalty clauses for late delivery,No,"3.11% defect rate, Meets standards","$53.33/unit, $5733.01 total cost"
S0309,Supplier 309,Retailer,High,Substandard Quality,"30-day payment, 5-day delivery",Poor,"Adjust delivery schedules, Seek alternative suppliers, Include penalty clauses for late delivery",No,"4.17% defect rate, Meets standards","$65.19/unit, $5474.55 total cost"
S0310,Supplier 310,Retailer,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,Seek alternative suppliers,No,"3.46% defect rate, Meets standards","$63.51/unit, $5921.05 total cost"
S0311,Supplier 311,Distributor,High,,"30-day payment, 5-day delivery",Excellent,"Adjust delivery schedules, Include compliance monitoring, Include penalty clauses for late delivery",No,"1.28% defect rate, Meets standards","$65.9/unit, $5069.65 total cost"
S0312,Supplier 312,Retailer,Low,,"30-day payment, 5-day delivery",Poor,Include compliance monitoring,Yes,"2.51% defect rate, Meets standards","$69.98/unit, $5903.84 total cost"
S0313,Supplier 313,Service Provider,Low,Late Delivery,"45-day payment, 10-day delivery",Good,Include compliance monitoring,No,"2.83% defect rate, Meets standards","$63.67/unit, $5217.22 total cost"
S0314,Supplier 314,Retailer,Low,Substandard Quality,"60-day payment, 7-day delivery",Poor,Include penalty clauses for late delivery,No,"3.87% defect rate, Meets standards","$60.32/unit, $6212.23 total cost"
S0315,Supplier 315,Distributor,Low,,"30-day payment, 5-day delivery",Good,Include penalty clauses for late delivery,Yes,"4.14% defect rate, Meets standards","$63.97/unit, $6630.77 total cost"
S0316,Supplier 316,Manufacturer,Medium,Late Delivery,"30-day payment, 5-day delivery",Fair,"Seek alternative suppliers, Adjust delivery schedules",No,"1.02% defect rate, Meets standards","$65.17/unit, $6728.18 total cost"
S0317,Supplier 317,Manufacturer,High,Substandard Quality,"45-day payment, 10-day delivery",Good,"Include compliance monitoring, Seek alternative suppliers, Adjust delivery schedules",No,"3.39% defect rate, Meets standards","$59.21/unit, $6871.86 total cost"
S0318,Supplier 318,Service Provider,Low,Substandard Quality,"60-day payment, 7-day delivery",Excellent,Adjust delivery schedules,No,"1.12% defect rate, Meets standards","$54.58/unit, $6948.55 total cost"
S0319,Supplier 319,Retailer,Low,,"30-day payment, 5-day delivery",Fair,Adjust delivery schedules,Yes,"4.34% defect rate, Meets standards","$54.36/unit, $5091.27 total cost"
S0320,Supplier 320,Distributor,Medium,Substandard Quality,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"1.96% defect rate, Meets standards","$50.44/unit, $6805.09 total cost"
S0321,Supplier 321,Manufacturer,High,Substandard Quality,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Include compliance monitoring, Seek alternative suppliers",Yes,"2.33% defect rate, Meets standards","$65.17/unit, $6082.96 total cost"
S0322,Supplier 322,Service Provider,Medium,Late Delivery,"60-day payment, 7-day delivery",Excellent,"Seek alternative suppliers, Include penalty clauses for late delivery",No,"1.93% defect rate, Meets standards","$56.99/unit, $6622.35 total cost"
S0323,Supplier 323,Service Provider,Low,Non-Compliance with Standards,"60-day payment, 7-day delivery",Poor,Adjust delivery schedules,Yes,"4.47% defect rate, Meets standards","$65.17/unit, $5852.93 total cost"
S0324,Supplier 324,Distributor,Low,Substandard Quality,"60-day payment, 7-day delivery",Excellent,Include penalty clauses for late delivery,No,"2.2% defect rate, Meets standards","$52.6/unit, $5225.69 total cost"
S0325,Supplier 325,Distributor,Low,Late Delivery,"60-day payment, 7-day delivery",Excellent,Include penalty clauses for late delivery,No,"3.97% defect rate, Meets standards","$63.44/unit, $6024.17 total cost"
S0326,Supplier 326,Service Provider,Low,Late Delivery,"45-day payment, 10-day delivery",Excellent,Adjust delivery schedules,No,"3.45% defect rate, Meets standards","$50.86/unit, $6048.72 total cost"
S0327,Supplier 327,Manufacturer,Low,Late Delivery,"45-day payment, 10-day delivery",Poor,Include penalty clauses for late delivery,Yes,"4.45% defect rate, Meets standards","$61.88/unit, $5871.41 total cost"
S0328,Supplier 328,Retailer,Medium,,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Include compliance monitoring",Yes,"1.79% defect rate, Meets standards","$50.52/unit, $5242.66 total cost"
S0329,Supplier 329,Retailer,Low,,"30-day payment, 5-day delivery",Excellent,Include penalty clauses for late delivery,Yes,"3.07% defect rate, Meets standards","$63.95/unit, $5071.46 total cost"
S0330,Supplier 330,Distributor,High,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Adjust delivery schedules, Include compliance monitoring",No,"4.33% defect rate, Meets standards","$65.84/unit, $5073.08 total cost"
S0331,Supplier 331,Manufacturer,High,,"60-day payment, 7-day delivery",Fair,"Include penalty clauses for late delivery, Adjust delivery schedules, Seek alternative suppliers",Yes,"3.44% defect rate, Meets standards","$58.25/unit, $5225.08 total cost"
S0332,Supplier 332,Service Provider,High,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Adjust delivery schedules, Include penalty clauses for late delivery, Include compliance monitoring",Yes,"1.05% defect rate, Meets standards","$57.12/unit, $5056.29 total cost"
S0333,Supplier 333,Manufacturer,Low,Late Delivery,"30-day payment, 5-day delivery",Good,Adjust delivery schedules,Yes,"2.01% defect rate, Meets standards","$54.64/unit, $6376.05 total cost"
S0334,Supplier 334,Service Provider,Low,Non-Compliance with Standards,"60-day payment, 7-day delivery",Poor,Adjust delivery schedules,No,"3.74% defect rate, Meets standards","$67.08/unit, $6874.48 total cost"
S0335,Supplier 335,Retailer,High,Late Delivery,"30-day payment, 5-day delivery",Fair,"Include compliance monitoring, Adjust delivery schedules, Seek alternative suppliers",Yes,"3.45% defect rate, Meets standards","$59.35/unit, $5422.5 total cost"
S0336,Supplier 336,Manufacturer,Low,,"45-day payment, 10-day delivery",Good,Include compliance monitoring,No,"4.59% defect rate, Meets standards","$65.12/unit, $6756.76 total cost"
S0337,Supplier 337,Distributor,High,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Seek alternative suppliers, Adjust delivery schedules",No,"4.7% defect rate, Meets standards","$62.4/unit, $6048.54 total cost"
S0338,Supplier 338,Service Provider,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Fair,"Include compliance monitoring, Adjust delivery schedules, Seek alternative suppliers",No,"4.2% defect rate, Meets standards","$52.92/unit, $5151.4 total cost"
S0339,Supplier 339,Distributor,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Fair,Include penalty clauses for late delivery,No,"1.73% defect rate, Meets standards","$53.4/unit, $6746.95 total cost"
S0340,Supplier 340,Retailer,Medium,Non-Compliance with Standards,"30-day payment, 5-day delivery",Poor,"Include compliance monitoring, Seek alternative suppliers",Yes,"2.49% defect rate, Meets standards","$55.24/unit, $5944.36 total cost"
S0341,Supplier 341,Service Provider,Medium,Substandard Quality,"30-day payment, 5-day delivery",Good,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"4.86% defect rate, Meets standards","$67.16/unit, $6919.15 total cost"
S0342,Supplier 342,Service Provider,Medium,,"45-day payment, 10-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"2.94% defect rate, Meets standards","$56.48/unit, $5014.31 total cost"
S0343,Supplier 343,Retailer,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Poor,Adjust delivery schedules,Yes,"2.34% defect rate, Meets standards","$67.78/unit, $5676.47 total cost"
S0344,Supplier 344,Manufacturer,Low,Substandard Quality,"45-day payment, 10-day delivery",Good,Include penalty clauses for late delivery,Yes,"4.85% defect rate, Meets standards","$62.6/unit, $5409.35 total cost"
S0345,Supplier 345,Retailer,Medium,,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules",Yes,"3.8% defect rate, Meets standards","$64.17/unit, $5034.18 total cost"
S0346,Supplier 346,Manufacturer,Low,Substandard Quality,"45-day payment, 10-day delivery",Poor,Adjust delivery schedules,No,"3.79% defect rate, Meets standards","$55.61/unit, $5675.74 total cost"
S0347,Supplier 347,Distributor,Low,,"60-day payment, 7-day delivery",Fair,Seek alternative suppliers,Yes,"2.65% defect rate, Meets standards","$50.96/unit, $5993.4 total cost"
S0348,Supplier 348,Service Provider,Medium,,"30-day payment, 5-day delivery",Poor,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"1.37% defect rate, Meets standards","$59.08/unit, $6047.05 total cost"
S0349,Supplier 349,Service Provider,High,,"30-day payment, 5-day delivery",Fair,"Seek alternative suppliers, Include penalty clauses for late delivery, Adjust delivery schedules",No,"4.93% defect rate, Meets standards","$62.81/unit, $6559.22 total cost"
S0350,Supplier 350,Distributor,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Excellent,"Adjust delivery schedules, Seek alternative suppliers, Include compliance monitoring",No,"1.34% defect rate, Meets standards","$56.7/unit, $5641.79 total cost"
S0351,Supplier 351,Manufacturer,Low,,"60-day payment, 7-day delivery",Excellent,Seek alternative suppliers,Yes,"3.66% defect rate, Meets standards","$69.05/unit, $5097.91 total cost"
S0352,Supplier 352,Retailer,High,Substandard Quality,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",No,"1.2% defect rate, Meets standards","$62.78/unit, $6274.94 total cost"
S0353,Supplier 353,Distributor,Medium,Late Delivery,"60-day payment, 7-day delivery",Excellent,"Adjust delivery schedules, Include compliance monitoring",Yes,"1.06% defect rate, Meets standards","$69.87/unit, $6817.24 total cost"
S0354,Supplier 354,Service Provider,Medium,Late Delivery,"45-day payment, 10-day delivery",Good,"Adjust delivery schedules, Seek alternative suppliers",Yes,"1.04% defect rate, Meets standards","$66.03/unit, $6174.53 total cost"
